name;category;description;price;picture
Браво-21 Look Art;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 10846₽;5746;https://shirokikhdenis.github.io/doorphotos/bravolookart.jpg
Браво-21 Slate Art;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 10846₽;5746;https://shirokikhdenis.github.io/doorphotos/153-0506.jpg
Браво-21 Snow Art;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 10846₽;5746;https://shirokikhdenis.github.io/doorphotos/153-0510.jpg
Браво-21 Snow Melinga;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 9656₽;5066;https://shirokikhdenis.github.io/doorphotos/153-1318.jpg
Браво-21 Riviera Ice;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 10846₽;5746;https://shirokikhdenis.github.io/doorphotos/153-0618.jpg
Браво-21 Grey Wood;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 10846₽;5746;https://shirokikhdenis.github.io/doorphotos/153-0662.jpg
Браво-21 Stormy Wood;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 10846₽;5746;https://shirokikhdenis.github.io/doorphotos/153-0666.jpg
Браво-21 Nordic Oak;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 10846₽;5746;https://shirokikhdenis.github.io/doorphotos/153-0562.jpg
Браво-21 Original Oak;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 10846₽;5746;https://shirokikhdenis.github.io/doorphotos/153-0963.jpg
Браво-21 Wenge Melinga;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 9656₽;5066;https://shirokikhdenis.github.io/doorphotos/153-1110.jpg
Браво-21 Cappuccino Melinga;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 9656₽;5066;https://shirokikhdenis.github.io/doorphotos/153-1140.jpg
Браво-21 Grey Melinga;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 9656₽;5066;https://shirokikhdenis.github.io/doorphotos/153-1272.jpg
Браво-22 Look Art Magic Fog;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 10846₽;5746;https://shirokikhdenis.github.io/doorphotos/153-0514.jpg
Браво-22 Slate Art Magic Fog;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 10846₽;5746;https://shirokikhdenis.github.io/doorphotos/153-0518.jpg
Браво-22 Snow Art Magic Fog;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 10846₽;5746;https://shirokikhdenis.github.io/doorphotos/153-0522.jpg
Браво-22 Nordic Oak Magic Fog;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 10846₽;5746;https://shirokikhdenis.github.io/doorphotos/153-0570.jpg
Браво-22 Riviera Ice Magic Fog;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 10846₽;5746;https://shirokikhdenis.github.io/doorphotos/153-0634.jpg
Браво-22 Cappuccino Melinga Magic Fog;Браво Экошпон;Цена комплекта (Полотно, коробка, наличники) составляет 9656₽;5066;https://shirokikhdenis.github.io/doorphotos/153-1148.jpg
